Subj_idx,Stimulus,Response,Confidence,RT_decision,RT_confidence,Task
1,2,2,4,6.848,2.217,VP
1,2,2,6,1.879,2.25,VP
1,2,2,7,4.022,1.182,VP
1,2,2,6,1.106,1.803,VP
1,2,2,6,1.611,1.254,VP
1,2,2,6,1.487,1.775,VP
1,1,1,6,4.409,1.801,VP
1,2,2,5,1.799,0.833,VP
1,2,1,6,1.437,1.239,VP
1,2,1,6,1.176,0.684,VP
1,1,2,6,1.908,1.404,VP
1,2,1,3,1.5,1.33,VP
1,2,1,5,1.606,1.156,VP
1,2,2,4,0.887,1.392,VP
1,1,1,6,1.169,0.752,VP
1,1,1,5,1.337,0.844,VP
1,1,1,4,4.019,1.17,VP
1,1,2,3,1.476,2.155,VP
1,1,2,4,1.691,0.979,VP
1,2,2,7,1.446,0.657,VP
1,2,2,6,1.22,1.022,VP
1,2,2,8,1.352,0.668,VP
1,1,1,9,1.831,1.092,VP
1,2,2,5,1.951,0.859,VP
1,2,2,6,1.009,0.727,VP
1,1,1,5,6.569,0.777,VP
1,2,2,3,0.946,0.804,VP
1,2,2,2,1.024,2.61,VP
1,2,2,3,1.884,1.146,VP
1,1,1,3,1.963,1.196,VP
1,1,1,7,1.641,0.735,VP
1,1,2,5,0.778,2.103,VP
1,1,1,5,1.129,0.803,VP
1,1,1,4,0.329,2.727,VP
1,1,1,6,0.995,1.571,VP
1,1,1,2,1.136,1.743,VP
1,1,2,2,0.699,4.254,VP
1,1,1,2,0.619,2.504,VP
1,2,2,3,0.851,0.788,VP
1,2,1,4,1.542,1.465,VP
1,2,2,3,2.847,6.691,EF
1,2,2,10,1.589,2.473,EF
1,2,2,10,1.238,4.023,EF
1,2,2,10,0.942,2.623,EF
1,1,1,10,0.773,2.189,EF
1,1,1,8,1.534,4.057,EF
1,1,1,10,1.331,3.246,EF
1,1,1,10,0.581,6.381,EF
1,2,1,3,2.033,5.326,EF
1,2,2,7,1.111,4.966,EF
1,1,1,10,0.421,2.556,EF
1,1,1,10,1.235,2.963,EF
1,1,1,2,0.69,5.003,EF
1,1,1,9,1.032,2.7,EF
1,1,1,10,0.275,3.653,EF
1,2,2,10,0.163,2.495,EF
1,1,1,10,0.286,1.922,EF
1,1,1,10,0.219,2.504,EF
1,2,2,2,2.611,4.537,EF
1,2,2,10,0.209,2.218,EF
1,2,2,10,0.137,2.16,EF
1,1,1,10,0.167,2.275,EF
1,2,2,4,1.819,3.921,EF
1,2,2,10,1.047,3.575,EF
1,2,1,8,0.213,9.907,EF
1,2,1,6,1.157,4.131,EF
1,2,2,10,0.176,1.867,EF
1,1,1,10,0.218,3.403,EF
1,2,2,10,0.106,2.961,EF
1,1,1,4,3.812,3.255,EF
1,2,1,4,0.564,6.589,EF
1,1,1,10,0.321,5.31,EF
1,2,2,10,0.068,2.08,EF
1,1,1,10,0.237,1.739,EF
1,1,1,10,0.312,5.026,EF
1,1,2,8,1.867,5.204,EF
1,1,1,10,0.251,3.771,EF
1,1,1,10,0.159,1.766,EF
1,2,2,9,1.355,2.871,EF
1,1,1,10,0.172,3.289,EF
1,2,2,10,2.366,3.79,SM
1,1,1,2,3.895,19.142,SM
1,1,1,10,2.866,4.162,SM
1,1,2,2,5.524,8.471,SM
1,1,1,2,4.532,5.238,SM
1,2,1,2,3.255,20.758,SM
1,2,2,7,1.642,5.244,SM
1,1,1,6,10.667,6.104,SM
1,2,2,5,2.807,7.408,SM
1,1,2,3,3.597,3.806,SM
1,1,1,9,0.813,3.373,SM
1,1,1,0,2.503,4.524,SM
1,1,1,3,2.605,5.306,SM
1,1,1,2,2.451,6.82,SM
1,2,2,8,2.483,8.704,SM
1,2,2,5,2.523,5.503,SM
1,2,1,2,2.114,6.445,SM
1,2,1,0,0.376,17.901,SM
1,1,1,10,0.261,3.064,SM
1,1,1,6,2.625,3.185,SM
1,2,2,5,1.737,6.335,SM
1,1,1,10,0.228,3.363,SM
1,2,1,4,2.75,8.266,SM
1,2,2,0,0.495,7.791,SM
1,2,2,10,1.104,4.626,SM
1,2,2,10,0.283,3.162,SM
1,1,1,9,1.085,6.631,SM
1,1,1,1,1.079,4.817,SM
1,1,2,2,1.348,9.163,SM
1,2,1,1,0.181,7.341,SM
1,2,1,0,0.701,9.214,SM
1,2,2,9,0.958,10.583,SM
1,1,1,9,0.441,4.302,SM
1,1,1,10,0.216,3.518,SM
1,2,2,6,3.249,10.326,SM
1,1,2,3,2.292,18.238,SM
1,2,2,10,1.01,4.544,SM
1,2,2,9,1.548,17.697,SM
1,2,2,9,1.296,4.109,SM
1,1,2,10,0.164,4.172,SM
1,1,1,1,1.879,6.775,EM
1,2,2,10,0.297,2.627,EM
1,1,1,10,0.27,3.124,EM
1,1,1,10,0.253,1.923,EM
1,1,1,10,0.211,1.746,EM
1,1,1,10,0.159,2.258,EM
1,1,1,10,0.131,1.471,EM
1,1,1,9,0.207,3.325,EM
1,2,1,4,1.898,6.454,EM
1,2,2,2,1.007,4.142,EM
1,2,2,10,0.099,2.022,EM
1,1,1,10,0.226,3.695,EM
1,1,1,10,0.227,1.512,EM
1,2,2,6,3.173,3.665,EM
